# File Name: /shared/data/ui/current_run/Untitled_2023-12-01-135038_20231201_135140.eds
# Comment: 
# Operator: Dongjun H.
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778620070344
# Instrument Serial Number: 2778620070344
# Heated Cover Serial Number: 2779320060447
# Block Serial Number: 2778320050408
# Run Start Date/Time: 2023-12-01 01:51:55 PM PST
# Run End Date/Time: 2023-12-01 03:34:27 PM PST
# Run Duration: 102 minutes 32 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-01 03:35:35 PM PST
# Exported On: 2023-12-01 03:35:40 PM PST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"57","C9","false","111","MYH7","UNKNOWN","SYBR","None","Amp","2.5628062195068484","","","24.40368847138516","0.752170772555714","22.267720001195972","3.948079601533186","true","11800.235948122277","true","3","18","86.23960876464844","","",""
"58","C10","false","111","MYL2","UNKNOWN","SYBR","None","Amp","2.700889827938143","","","29.195341611448626","0.98487575571925","29.46300615858519","0.3358370090094323","true","14856.637297205674","true","3","25","84.23524475097656","","",""
"59","C11","false","111","MYL2","UNKNOWN","SYBR","None","Amp","2.7050768895298773","","","29.353829658083868","0.9917587221658456","29.46300615858519","0.3358370090094323","true","14856.637297205674","true","3","21","84.23524475097656","","",""
"60","C12","false","111","MYL2","UNKNOWN","SYBR","None","Amp","2.7118237564918646","","","29.839847206223084","0.9878755088821922","29.46300615858519","0.3358370090094323","true","14856.637297205674","true","3","20","84.23524475097656","","",""
"61","C13","false","111","TNNI3","UNKNOWN","SYBR","None","Amp","2.5870873237523164","","","23.908685027650897","0.983794592408166","23.794091270138804","0.16590048336175517","true","19384.55439175768","true","3","18","81.32152557373047","85.0572738647461","",""
"62","C14","false","111","TNNI3","UNKNOWN","SYBR","None","Amp","2.588700967182737","","","23.60385014203726","0.9809941384282298","23.794091270138804","0.16590048336175517","true","19384.55439175768","true","3","18","81.32152557373047","85.0572738647461","",""
"63","C15","false","111","TNNI3","UNKNOWN","SYBR","None","Amp","2.59205084080422","","","23.86973864072825","0.9907556492993447","23.794091270138804","0.16590048336175517","true","19384.55439175768","true","3","17","81.32152557373047","85.14839172363281","",""
"64","C16","false","111","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.6522210441829577","","","25.276623462283034","0.5569119634980073","25.22180705768747","0.7682162607887657","true","15130.825383443827","true","3","19","82.5971450805664","","",""
"65","C17","false","111","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.647516917137204","","","24.42765079071598","0.4812326397538427","25.22180705768747","0.7682162607887657","true","15130.825383443827","true","3","19","82.51570892333984","","",""
"66","C18","false","111","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.6475190499859584","","","25.961146920063392","0.695072632708893","25.22180705768747","0.7682162607887657","true","15130.825383443827","true","3","19","82.51570892333984","","",""
