"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","nlogq","attr","conv_GR"
"GO:0070888","MF","GO:0070888","E-box binding","15/2806","48/20696",0.00122968208173091,0.0170560166894512,0.0143844078241375,"ENSG00000107485/ENSG00000132170/ENSG00000019549/ENSG00000164107/ENSG00000134107/ENSG00000148516/ENSG00000106546/ENSG00000168874/ENSG00000122691/ENSG00000187098/ENSG00000133794/ENSG00000114315/ENSG00000260428/ENSG00000100644/ENSG00000123095",15,1.84210801239744,"Up",0.00534568781183179
"GO:0001540","MF","GO:0001540","Amyloid-beta binding","26/2806","104/20696",0.00123699779744313,0.0170560166894512,0.0143844078241375,"ENSG00000158258/ENSG00000092969/ENSG00000174130/ENSG00000136869/ENSG00000109846/ENSG00000188517/ENSG00000164171/ENSG00000155511/ENSG00000116106/ENSG00000101439/ENSG00000142798/ENSG00000133216/ENSG00000087085/ENSG00000135218/ENSG00000171867/ENSG00000107282/ENSG00000073921/ENSG00000163697/ENSG00000174804/ENSG00000186318/ENSG00000139182/ENSG00000123384/ENSG00000113068/ENSG00000136156/ENSG00000163956/ENSG00000123349",26,1.84210801239744,"Up",0.00926585887384177
"GO:1990782","MF","GO:1990782","Protein tyrosine kinase binding","31/2806","133/20696",0.00154899621656338,0.0211095763466544,0.017803028731371,"ENSG00000243137/ENSG00000168621/ENSG00000086991/ENSG00000183668/ENSG00000102871/ENSG00000231924/ENSG00000095585/ENSG00000111859/ENSG00000157168/ENSG00000145675/ENSG00000204217/ENSG00000129946/ENSG00000116106/ENSG00000105767/ENSG00000171587/ENSG00000150093/ENSG00000183283/ENSG00000108861/ENSG00000183087/ENSG00000110697/ENSG00000198053/ENSG00000161011/ENSG00000091879/ENSG00000173801/ENSG00000090975/ENSG00000134569/ENSG00000033327/ENSG00000185950/ENSG00000173531/ENSG00000169047/ENSG00000151422",31,1.74950610727382,"Up",0.011047754811119
"GO:0005547","MF","GO:0005547","Phosphatidylinositol-3,4,5-trisphosphate binding","13/2806","40/20696",0.00171829325005529,0.022884541921191,0.0192999684426067,"ENSG00000070190/ENSG00000265190/ENSG00000149596/ENSG00000047365/ENSG00000174307/ENSG00000107862/ENSG00000008256/ENSG00000033327/ENSG00000130787/ENSG00000137478/ENSG00000153317/ENSG00000165861/ENSG00000142208",13,1.71444340110689,"Up",0.00463292943692088
"GO:0071889","MF","GO:0071889","14-3-3 protein binding","13/2806","40/20696",0.00171829325005529,0.022884541921191,0.0192999684426067,"ENSG00000143473/ENSG00000142178/ENSG00000039523/ENSG00000101096/ENSG00000172403/ENSG00000164916/ENSG00000171132/ENSG00000128016/ENSG00000057704/ENSG00000185950/ENSG00000002330/ENSG00000099910/ENSG00000142208",13,1.71444340110689,"Up",0.00463292943692088
"GO:0003714","MF","GO:0003714","Transcription corepressor activity","43/2806","204/20696",0.00194536820842549,0.0252414846506293,0.0212877259627635,"ENSG00000148677/ENSG00000137203/ENSG00000159388/ENSG00000015153/ENSG00000129993/ENSG00000180530/ENSG00000071282/ENSG00000163346/ENSG00000169297/ENSG00000106829/ENSG00000115641/ENSG00000110092/ENSG00000162552/ENSG00000048052/ENSG00000141582/ENSG00000196843/ENSG00000156030/ENSG00000185345/ENSG00000129474/ENSG00000018408/ENSG00000122733/ENSG00000169946/ENSG00000085185/ENSG00000151917/ENSG00000064393/ENSG00000134504/ENSG00000104881/ENSG00000226742/ENSG00000141002/ENSG00000015171/ENSG00000164442/ENSG00000179588/ENSG00000181788/ENSG00000139687/ENSG00000196233/ENSG00000107882/ENSG00000178685/ENSG00000138496/ENSG00000117625/ENSG00000166886/ENSG00000069399/ENSG00000059122/ENSG00000123349",43,1.67187072910049,"Up",0.0153243050605845
"GO:0015923","MF","GO:0015923","Mannosidase activity","7/2806","15/20696",0.00198141347086851,0.0252414846506293,0.0212877259627635,"ENSG00000111885/ENSG00000013288/ENSG00000134109/ENSG00000116406/ENSG00000198162/ENSG00000109323/ENSG00000196547",7,1.67187072910049,"Up",0.00249465431218817
"GO:0042043","MF","GO:0042043","Neurexin family protein binding","7/2806","15/20696",0.00198141347086851,0.0252414846506293,0.0212877259627635,"ENSG00000102362/ENSG00000147041/ENSG00000109472/ENSG00000137501/ENSG00000164674/ENSG00000142765/ENSG00000137575",7,1.67187072910049,"Up",0.00249465431218817
"GO:0045159","MF","GO:0045159","Myosin II binding","7/2806","15/20696",0.00198141347086851,0.0252414846506293,0.0212877259627635,"ENSG00000198336/ENSG00000160808/ENSG00000148180/ENSG00000064042/ENSG00000158352/ENSG00000100106/ENSG00000164506",7,1.67187072910049,"Up",0.00249465431218817
"GO:0005507","MF","GO:0005507","Copper ion binding","18/2806","66/20696",0.00239410726432051,0.0301709001482112,0.0254450109926085,"ENSG00000113083/ENSG00000080166/ENSG00000077498/ENSG00000138131/ENSG00000134013/ENSG00000079931/ENSG00000129038/ENSG00000115008/ENSG00000198734/ENSG00000063660/ENSG00000145335/ENSG00000171867/ENSG00000145730/ENSG00000189171/ENSG00000165240/ENSG00000123191/ENSG00000089472/ENSG00000179630",18,1.59439735716922,"Up",0.00641482537419815
"GO:0030295","MF","GO:0030295","Protein kinase activator activity","32/2806","143/20696",0.0026350046468632,0.0327844010060619,0.0276491400616958,"ENSG00000164220/ENSG00000182585/ENSG00000167244/ENSG00000013588/ENSG00000166923/ENSG00000124762/ENSG00000085741/ENSG00000113070/ENSG00000109321/ENSG00000171450/ENSG00000146648/ENSG00000157168/ENSG00000138696/ENSG00000125845/ENSG00000145675/ENSG00000171094/ENSG00000204217/ENSG00000184349/ENSG00000183283/ENSG00000178568/ENSG00000106617/ENSG00000138798/ENSG00000183087/ENSG00000172081/ENSG00000169129/ENSG00000121879/ENSG00000102547/ENSG00000185950/ENSG00000164327/ENSG00000170412/ENSG00000225830/ENSG00000180370",32,1.55831837149375,"Up",0.0114041339985745
"GO:0019209","MF","GO:0019209","Kinase activator activity","33/2806","149/20696",0.00272058872461489,0.0327844010060619,0.0276491400616958,"ENSG00000164220/ENSG00000182585/ENSG00000167244/ENSG00000013588/ENSG00000166923/ENSG00000124762/ENSG00000085741/ENSG00000113070/ENSG00000109321/ENSG00000171450/ENSG00000146648/ENSG00000157168/ENSG00000138696/ENSG00000125845/ENSG00000145675/ENSG00000171094/ENSG00000204217/ENSG00000184349/ENSG00000183283/ENSG00000178568/ENSG00000106617/ENSG00000138798/ENSG00000183087/ENSG00000172081/ENSG00000169129/ENSG00000172175/ENSG00000121879/ENSG00000102547/ENSG00000185950/ENSG00000164327/ENSG00000170412/ENSG00000225830/ENSG00000180370",33,1.55831837149375,"Up",0.0117605131860299
"GO:0017166","MF","GO:0017166","Vinculin binding","6/2806","12/20696",0.00274135776330552,0.0327844010060619,0.0276491400616958,"ENSG00000182253/ENSG00000198947/ENSG00000072110/ENSG00000137076/ENSG00000089159/ENSG00000103647",6,1.55831837149375,"Up",0.00213827512473272
"GO:0019215","MF","GO:0019215","Intermediate filament binding","6/2806","12/20696",0.00274135776330552,0.0327844010060619,0.0276491400616958,"ENSG00000026025/ENSG00000186847/ENSG00000182253/ENSG00000132688/ENSG00000261150/ENSG00000057294",6,1.55831837149375,"Up",0.00213827512473272
"GO:0032036","MF","GO:0032036","Myosin heavy chain binding","6/2806","12/20696",0.00274135776330552,0.0327844010060619,0.0276491400616958,"ENSG00000198336/ENSG00000160808/ENSG00000120913/ENSG00000137877/ENSG00000064042/ENSG00000167601",6,1.55831837149375,"Up",0.00213827512473272
"GO:0003925","MF","GO:0003925","G protein activity","13/2806","42/20696",0.00280688609249086,0.0331073096783591,0.027921469182665,"ENSG00000158186/ENSG00000041353/ENSG00000143622/ENSG00000111540/ENSG00000181467/ENSG00000070831/ENSG00000134108/ENSG00000144118/ENSG00000069974/ENSG00000108774/ENSG00000116473/ENSG00000138069/ENSG00000088256",13,1.55406173357261,"Up",0.00463292943692088
"GO:0004674","MF","GO:0004674","Protein serine/threonine kinase activity","84/2806","462/20696",0.00282485577460402,0.0331073096783591,0.027921469182665,"ENSG00000198796/ENSG00000070808/ENSG00000170390/ENSG00000145632/ENSG00000275993/ENSG00000177453/ENSG00000146648/ENSG00000171243/ENSG00000138395/ENSG00000142178/ENSG00000138696/ENSG00000120899/ENSG00000038382/ENSG00000204217/ENSG00000145349/ENSG00000074590/ENSG00000185386/ENSG00000069020/ENSG00000151414/ENSG00000126562/ENSG00000110422/ENSG00000177189/ENSG00000163545/ENSG00000106617/ENSG00000160145/ENSG00000182541/ENSG00000049323/ENSG00000173846/ENSG00000106799/ENSG00000162526/ENSG00000117020/ENSG00000107140/ENSG00000105204/ENSG00000185189/ENSG00000010219/ENSG00000119408/ENSG00000196182/ENSG00000171132/ENSG00000162302/ENSG00000105810/ENSG00000065534/ENSG00000161011/ENSG00000104936/ENSG00000112079/ENSG00000163513/ENSG00000155111/ENSG00000006062/ENSG00000167657/ENSG00000083290/ENSG00000134070/ENSG00000101049/ENSG00000064393/ENSG00000178607/ENSG00000080823/ENSG00000198873/ENSG00000169967/ENSG00000114670/ENSG00000101782/ENSG00000137825/ENSG00000125388/ENSG00000121879/ENSG00000162889/ENSG00000183049/ENSG00000169118/ENSG00000198001/ENSG00000071242/ENSG00000107968/ENSG00000081320/ENSG00000086015/ENSG00000177169/ENSG00000154229/ENSG00000013441/ENSG00000115977/ENSG00000012983/ENSG00000077264/ENSG00000118515/ENSG00000142875/ENSG00000158828/ENSG00000134318/ENSG00000172071/ENSG00000142208/ENSG00000071054/ENSG00000166333/ENSG00000180370",84,1.55406173357261,"Up",0.029935851746258
"GO:0004896","MF","GO:0004896","Cytokine receptor activity","23/2806","94/20696",0.00308684618335838,0.0344201390799356,0.0290286604958322,"ENSG00000164509/ENSG00000144476/ENSG00000168685/ENSG00000151892/ENSG00000123496/ENSG00000100368/ENSG00000144648/ENSG00000134352/ENSG00000112964/ENSG00000144230/ENSG00000131724/ENSG00000115594/ENSG00000178623/ENSG00000122756/ENSG00000137070/ENSG00000196083/ENSG00000105246/ENSG00000006016/ENSG00000174804/ENSG00000142166/ENSG00000121966/ENSG00000119737/ENSG00000026508",23,1.53717300387519,"Up",0.00819672131147541
"GO:0051213","MF","GO:0051213","Dioxygenase activity","23/2806","94/20696",0.00308684618335838,0.0344201390799356,0.0290286604958322,"ENSG00000132965/ENSG00000129151/ENSG00000073756/ENSG00000132510/ENSG00000072682/ENSG00000197580/ENSG00000168769/ENSG00000149380/ENSG00000168453/ENSG00000122884/ENSG00000135766/ENSG00000105755/ENSG00000152952/ENSG00000083444/ENSG00000090530/ENSG00000115548/ENSG00000197724/ENSG00000178467/ENSG00000117385/ENSG00000106397/ENSG00000185624/ENSG00000187605/ENSG00000127663",23,1.53717300387519,"Up",0.00819672131147541
"GO:0003953","MF","GO:0003953","NAD+ nucleosidase activity","7/2806","16/20696",0.00311308425125698,0.0344201390799356,0.0290286604958322,"ENSG00000174125/ENSG00000174130/ENSG00000136869/ENSG00000115594/ENSG00000004468/ENSG00000196083/ENSG00000004139",7,1.53717300387519,"Up",0.00249465431218817
"GO:0005041","MF","GO:0005041","Low-density lipoprotein particle receptor activity","7/2806","16/20696",0.00311308425125698,0.0344201390799356,0.0290286604958322,"ENSG00000173391/ENSG00000168702/ENSG00000081479/ENSG00000197324/ENSG00000147650/ENSG00000135218/ENSG00000123384",7,1.53717300387519,"Up",0.00249465431218817
"GO:0050135","MF","GO:0050135","NAD(P)+ nucleosidase activity","7/2806","16/20696",0.00311308425125698,0.0344201390799356,0.0290286604958322,"ENSG00000174125/ENSG00000174130/ENSG00000136869/ENSG00000115594/ENSG00000004468/ENSG00000196083/ENSG00000004139",7,1.53717300387519,"Up",0.00249465431218817
"GO:0061809","MF","GO:0061809","NAD+ nucleotidase, cyclic ADP-ribose generating","7/2806","16/20696",0.00311308425125698,0.0344201390799356,0.0290286604958322,"ENSG00000174125/ENSG00000174130/ENSG00000136869/ENSG00000115594/ENSG00000004468/ENSG00000196083/ENSG00000004139",7,1.53717300387519,"Up",0.00249465431218817
