"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000104783",98.5459147277155,4.65866842090637,0.682718374977332,6.82370446095149,8.87223142745173e-12,7.47769569855731e-11,"KCNN4"
"ENSG00000213967",35.1969839451665,-3.06476922887724,0.519074899336834,-5.90429094682245,3.5416665299137e-09,2.21120818805824e-08,"ZNF726"
"ENSG00000188171",107.732229734422,-0.445973691645619,0.370827771443604,-1.20264372301319,0.229114220293726,0.327234274956401,"ZNF626"
"ENSG00000130518",45.3698374702373,4.32012783453048,0.476473588848104,9.06687786194945,1.22476083885407e-19,2.14642013857008e-18,"IQCN"
"ENSG00000197808",71.2021171263513,0.190727075677681,0.264954085829662,0.719849535742955,0.471617641798817,0.579581952337259,"ZNF461"
"ENSG00000115286",916.585793221833,-0.709439696662121,0.127691100111963,-5.55590558809553,2.76176126638014e-08,1.54877337210817e-07,"NDUFS7"
"ENSG00000087088",1595.75147161757,-0.306964340917026,0.217127857123244,-1.413749230449,0.157435544984183,0.241027511590166,"BAX"
"ENSG00000204869",13.1731299856982,0.677996906495323,0.786808463012157,0.861705152356562,0.388849789594766,0.498814940528653,"IGFL4"
"ENSG00000267922",1.03644865241975,3.89801193334046,2.23883062851666,1.74109282037252,0.0816673096517587,0.138838155752158,NA
"ENSG00000269729",1.36078750447299,4.29922888663512,1.70132008522292,2.52699590393174,0.0115042844468319,0.0252124844575258,NA
"ENSG00000268621",3.7618250651772,3.29586945267448,1.37504320316979,2.39692065316693,0.0165335035878291,0.0348510154087864,"IGFL2-AS1"
"ENSG00000268460",4.44486747714348,2.10854969101749,1.22645921332518,1.71921713181214,0.0855748424694919,0.144631930377102,"LOC93429"
"ENSG00000269445",10.9320803003986,-6.57812905405771,0.935520191012437,-7.03152012885872,2.04295385424009e-12,1.84538569987857e-11,NA
"ENSG00000196218",293.314561774704,-6.2900635558426,0.352218236110544,-17.8584267109567,2.48546839640518e-71,5.18170451282552e-69,"RYR1"
"ENSG00000224420",20.0303827833823,-0.917349539030737,0.572778333844614,-1.6015786296826,0.10924881960435,0.177694684739068,"ADM5"
"ENSG00000275395",1.81658747018922,-2.00051882051574,1.05171765885778,-1.90214436704278,0.0571522835594008,0.102405700602172,"FCGBP"
"ENSG00000161681",69.6655995061037,-1.08130838625887,0.366690429641316,-2.94883176339391,0.00318977566329429,0.00795916830576878,"SHANK1"
