"","wi_i_psc_1","wi_i_psc_2","wi_i_psc_3","h11_i_psc_1","h11_i_psc_2","h11_i_psc_3","hgnc_symbol"
"ENSG00000185101",8.0972215070352,7.74817137749397,7.94979432798021,8.65943564351527,7.41511524625464,7.17752085848638,"ANO9"
"ENSG00000174915",10.497466516006,10.8137255716169,10.1740441614185,10.8562574523268,10.9346482795798,10.6405843247355,"PTDSS2"
"ENSG00000255237",5.62614418774403,6.02968496940848,5.68819431414795,5.69793696642301,5.87807498735324,5.73020902711406,NA
"ENSG00000023191",10.2757995741239,10.2912191822191,10.2040408657188,10.4771270235442,10.5058280543265,10.4415605447796,"RNH1"
"ENSG00000174775",9.43739044978013,9.73843279693604,9.23632645470171,9.62929972419099,10.0939651126538,10.364059766186,"HRAS"
"ENSG00000161328",6.79038555028029,7.03493475447138,6.72173626675348,6.58104904490038,6.42114741923117,6.49883083776753,"LRRC56"
"ENSG00000185522",6.68725228742522,7.11513807662768,7.64967765012954,7.54592706297541,7.09496474042836,6.69691108612705,"LMNTD2"
"ENSG00000254815",6.35821794615393,6.41144505129513,7.54763687180581,7.36486613102523,6.22887419600696,6.17345794708903,"LMNTD2-AS1"
"ENSG00000099849",8.7927956198834,8.73246078078756,8.91750723162249,9.00088432756911,8.95993699076038,8.87936496722219,"RASSF7"
"ENSG00000247095",7.68993713026614,7.23840592983392,7.19525308332272,7.21285108926921,6.58216603433699,6.5565612717961,"MIR210HG"
"ENSG00000070047",11.2537324343203,10.4984170212734,10.5889540833432,10.9143215865808,10.6574935159297,11.282313507702,"PHRF1"
"ENSG00000185507",7.71404559518915,7.8850919950263,7.33745923630677,7.6520064426785,7.40674455325709,7.69884889252378,"IRF7"
"ENSG00000099834",5.18916229606352,5.70053418619523,5.62187073937371,5.74592806868094,5.58941112753347,5.53254796178784,"CDHR5"
"ENSG00000070031",6.42949454983665,6.72127432649213,5.89146862808021,5.51193606298776,5.75341346213997,5.53254796178784,"SCT"
"ENSG00000069696",9.47729705538588,9.23982036763885,7.29534769665205,8.35929234148777,7.78451253773607,7.35282498461585,"DRD4"
"ENSG00000177030",10.7049276308751,10.8861576871411,10.4005122099302,10.7557504369115,10.8909266942648,10.5283584900478,"DEAF1"
"ENSG00000255158",5.18916229606352,5.18916229606352,5.18916229606352,5.51193606298776,5.65084094740345,5.53254796178784,NA
"ENSG00000177106",10.0042384473728,10.0616957208619,10.4672275066917,10.2502959817324,10.1726921182523,10.279740915772,"EPS8L2"
"ENSG00000177042",7.27218991567899,7.90664021354253,7.93658192069289,7.80003986616333,7.27429621913325,7.38144254602196,"TMEM80"
"ENSG00000269915",5.18916229606352,5.18916229606352,5.68819431414795,5.74592806868094,5.18916229606352,5.53254796178784,NA
"ENSG00000177156",12.5665754718897,12.9098489503241,12.2485904204628,12.2715166549071,12.605210161612,12.431462678439,"TALDO1"
"ENSG00000177225",9.59549841790416,9.90302271117369,10.2955289195904,10.117143140492,9.67661638071305,9.5023707131034,"GATD1"
"ENSG00000255284",6.54328435710271,7.00700452526734,7.06114144754852,6.8265860377768,6.47764679192099,6.27842963551515,"GATD1-DT"
"ENSG00000279672",6.30109283880323,6.36214716626085,7.03513442791541,7.1345644065342,6.83352129033514,6.79170622059616,NA
"ENSG00000255142",5.7233451268249,5.18916229606352,6.30990295570168,5.74592806868094,5.18916229606352,5.53254796178784,NA
"ENSG00000184524",7.72000639879112,7.80305749141636,7.08661514021263,7.98785399571743,8.05932306381209,8.14566312428332,"CEND1"
"ENSG00000177542",10.0994542446727,10.2270970722839,9.89852264549204,10.1801314719192,10.3436453859222,10.561466355193,"SLC25A22"
"ENSG00000274897",6.17495547384321,6.45841396347606,6.17303261953069,6.34631554477058,6.61484698864574,6.45848585117947,NA
"ENSG00000177595",8.9119414027449,8.79440171120271,10.1726657132717,9.6931394682876,9.24730186093795,9.19913648461476,"PIDD1"
"ENSG00000177600",13.7028945843632,14.2723002346431,13.3746400786108,13.4174376519949,14.0206914091328,13.5678657784588,"RPLP2"
"ENSG00000177666",10.427594851835,10.9974282165359,10.5899866950264,10.9081373379615,11.1029445906142,10.7603352960878,"PNPLA2"
"ENSG00000255108",5.4987433775035,5.63259774045074,5.68819431414795,5.69793696642301,5.42073917321374,5.60923011344797,NA
"ENSG00000177685",8.78170621713359,9.29156698070313,9.16859445718399,9.18564504978674,9.14497902558916,9.20933355595498,"CRACR2B"
"ENSG00000177697",11.059317205906,11.194973567699,10.9761433632651,11.227416329989,11.3966265381103,11.2586596169539,"CD151"
"ENSG00000177700",10.3836207341838,11.0488177640825,10.3330262658014,10.2910216293991,11.0729674831925,10.8548025007633,"POLR2L"
"ENSG00000214063",10.4625229191713,10.9322147708821,10.3731762738369,10.8526837898227,11.0209235261865,10.9088032159139,"TSPAN4"
"ENSG00000250397",5.4987433775035,5.55169810502553,6.11163218058287,6.19169898150594,5.94922036576158,5.53254796178784,NA
"ENSG00000177830",10.6392918122735,11.0241545873453,10.3305565857404,10.7942664272159,10.7567056202575,10.554506759271,"CHID1"
"ENSG00000183020",11.3768822085536,10.7646146434926,10.149027892911,10.7294891922248,10.5290225865292,10.8261989709123,"AP2A2"
"ENSG00000184956",5.4987433775035,5.18916229606352,5.62187073937371,5.78992687561757,5.51631177604261,5.43225849630727,"MUC6"
"ENSG00000198788",5.4987433775035,5.18916229606352,5.54290621656904,5.51193606298776,5.51631177604261,5.43225849630727,"MUC2"
"ENSG00000117983",5.7233451268249,5.86304761793467,5.68819431414795,6.08933617329061,6.0137512387704,5.18916229606352,"MUC5B"
"ENSG00000078902",10.1751337524341,10.0220295826489,9.35315606319898,9.70271402398582,9.96648058872641,9.9167974108766,"TOLLIP"
"ENSG00000255153",6.07928531497908,6.36214716626085,6.17303261953069,6.23862363632609,6.61484698864574,6.05370140058679,"TOLLIP-DT"
"ENSG00000174672",9.3854376856749,9.536833890531,9.68097947767675,9.96113516786484,9.94731033310422,10.0960407007765,"BRSK2"
"ENSG00000182208",8.64448232125129,9.0183036922186,8.4613153941669,8.64284733445656,9.15698184201292,9.05668123240076,"MOB2"
"ENSG00000184545",7.60847886930179,7.15339234271536,7.04820617844799,6.94991752274468,6.75101964416698,7.17752085848638,"DUSP8"
"ENSG00000233930",5.4987433775035,5.63259774045074,5.54290621656904,5.58406876767317,5.18916229606352,5.18916229606352,"KRTAP5-AS1"
"ENSG00000278919",5.40827875476777,5.55169810502553,5.84690435339636,5.18916229606352,5.42073917321374,5.60923011344797,NA
"ENSG00000244242",5.40827875476777,5.70053418619523,5.93317541133141,6.00296225041543,5.70479122056612,5.53254796178784,"IFITM10"
"ENSG00000250644",5.7233451268249,5.90866347186318,5.89146862808021,5.93923704525927,5.70479122056612,5.53254796178784,NA
"ENSG00000117984",11.0241071898103,11.7708337610862,10.796404917979,11.369206376972,11.6532188922549,11.4083812849573,"CTSD"
"ENSG00000235027",5.80483067526391,5.18916229606352,6.04521275782602,5.64469130782133,5.87807498735324,5.9117377806544,NA
"ENSG00000229512",5.56795900410903,5.18916229606352,5.54290621656904,5.58406876767317,5.79798733897092,5.60923011344797,NA
"ENSG00000230980",5.4987433775035,5.44585014100165,5.54290621656904,5.41763530158468,5.42073917321374,5.18916229606352,NA
"ENSG00000130592",5.4987433775035,5.18916229606352,5.18916229606352,5.41763530158468,5.51631177604261,5.60923011344797,"LSP1"
"ENSG00000130595",5.18916229606352,5.18916229606352,5.74641216277812,5.58406876767317,5.42073917321374,5.18916229606352,"TNNT3"
"ENSG00000214026",8.97892517305864,9.36711294408902,8.49733603038734,8.95070428937247,9.14979224126146,8.75574994404063,"MRPL23"
"ENSG00000226416",5.18916229606352,5.18916229606352,5.97248334746111,5.78992687561757,5.42073917321374,5.43225849630727,"MRPL23-AS1"
"ENSG00000130600",6.7654604082894,6.54635299189457,6.04521275782602,5.86899050210992,5.65084094740345,5.73020902711406,"H19"
"ENSG00000167244",7.57578891281698,7.49362180175022,7.5387724236076,7.84207949208812,7.83429629769066,6.85084265749881,"IGF2"
"ENSG00000180176",5.18916229606352,5.44585014100165,5.18916229606352,5.64469130782133,5.51631177604261,5.53254796178784,"TH"
"ENSG00000183734",5.67726142123402,6.06597151189217,5.79885359899228,5.74592806868094,5.91459258397891,5.67365025968087,"ASCL2"
"ENSG00000110665",5.18916229606352,5.44585014100165,5.68819431414795,5.18916229606352,5.18916229606352,5.53254796178784,"C11orf21"
"ENSG00000064201",5.80483067526391,5.63259774045074,5.93317541133141,6.19169898150594,5.70479122056612,5.60923011344797,"TSPAN32"
"ENSG00000238184",5.97037795341579,6.02968496940848,6.07911892161402,5.83075680654537,5.87807498735324,5.73020902711406,"CD81-AS1"
"ENSG00000236264",5.56795900410903,6.06597151189217,5.54290621656904,5.90504540691154,5.87807498735324,5.67365025968087,NA
"ENSG00000110651",12.1508645358992,12.6391388913239,12.1491641191725,12.4626884327228,12.794059470869,12.5560931665534,"CD81"
"ENSG00000184281",9.54905338178895,9.69870211495505,9.03491578489077,9.45322446406282,9.62580851115148,9.71020743587161,"TSSC4"
