"","baseMean","log2FoldChange","lfcSE","pvalue","padj","hgnc_symbol"
"ENSG00000187634",16.1219576652392,-0.0227115928054798,0.127153667977032,0.248924009614685,0.924770156069171,"SAMD11"
"ENSG00000188976",4079.92778538377,0.18461842835989,0.215171960027254,0.0382295643277143,0.493421569944285,"NOC2L"
"ENSG00000187961",455.665731773086,0.0350062044849903,0.124016281081092,0.409028514016846,0.983310023689396,"KLHL17"
"ENSG00000187583",26.7968799711947,-0.000899533825539733,0.122183318959596,0.972805748638378,0.999280528424376,"PLEKHN1"
"ENSG00000187642",8.40137681491358,0.00644790021521217,0.124771700021425,0.702530802506531,0.996963966487092,"PERM1"
"ENSG00000272512",2.04568191045236,0.00589746497523122,0.125546626959891,0.524829099910357,NA,NA
"ENSG00000188290",113.14921839327,-0.0486603147776725,0.133815691150642,0.170564829572116,0.847409170738543,"HES4"
"ENSG00000187608",365.531391846978,-0.0243681831216494,0.115213089463843,0.63067827495128,0.996963966487092,"ISG15"
"ENSG00000188157",8116.74035625903,0.278499411913955,0.395916805787958,0.0161608004406894,0.319770209146264,"AGRN"
"ENSG00000217801",29.6381327482054,0.0020396512033345,0.121695163994078,0.948691310426473,0.998379934834359,NA
"ENSG00000273443",1.44344055537169,-0.00141150808542404,0.125483258973915,0.84347422280944,NA,NA
"ENSG00000131591",291.700038196559,0.0447755008634125,0.120572185497677,0.401918342126068,0.98204376380461,"C1orf159"
"ENSG00000272141",7.28895760537014,0.0200427273286115,0.12711293957176,0.196652542588416,0.87973259500096,NA
"ENSG00000205231",4.14552059407463,0.000279180559457334,0.125020147663185,0.98473410059955,NA,"TTLL10-AS1"
"ENSG00000162571",5.45391018602268,-0.00797868025606993,0.125103343347769,0.600959189818906,NA,"TTLL10"
"ENSG00000186891",21.1322427568839,-0.0111928192599596,0.123741168294082,0.654580957016247,0.996963966487092,"TNFRSF18"
"ENSG00000186827",1.8852590818625,-0.000114190046006684,0.12538464960437,0.987889881210152,NA,"TNFRSF4"
"ENSG00000078808",2497.8722791969,0.083503927450251,0.128476588404417,0.203330128946239,0.886286330023999,"SDF4"
"ENSG00000176022",1010.83969858589,0.0577312642261861,0.131181219640167,0.249410994858037,0.924888724188846,"B3GALT6"
"ENSG00000184163",47.9619252935672,-0.0479250656628209,0.132121758260398,0.211052713137334,0.888497971491564,"C1QTNF12"
"ENSG00000260179",5.69959854567204,-0.0116353981509728,0.125777077192316,0.380629129915813,0.97955222761224,NA
"ENSG00000160087",1594.96685318377,0.0867777320214926,0.140785228799655,0.170964175764211,0.847409170738543,"UBE2J2"
"ENSG00000230415",7.26362410317128,-0.0116093247721235,0.125744695833915,0.392858568088878,0.981346237206716,NA
"ENSG00000162572",66.3861461286113,-0.0253742591169693,0.125259288080159,0.409616771627537,0.983310023689396,"SCNN1D"
"ENSG00000131584",663.75934478677,0.0687142416524168,0.131508368940994,0.232678076373704,0.908585124657258,"ACAP3"
"ENSG00000169972",784.762684724361,0.0669320738147077,0.134630091971924,0.209238342342837,0.887225289685191,"PUSL1"
"ENSG00000127054",2648.71211630325,0.0253866237287171,0.10639222824615,0.701087893135595,0.996963966487092,"INTS11"
"ENSG00000240731",24.2114123305189,-0.0105366178494766,0.123135981083847,0.698052974546745,0.996963966487092,NA
"ENSG00000224051",383.352512506556,0.0720860393360445,0.132241927658133,0.220069113286388,0.894521961773382,"CPTP"
"ENSG00000169962",5.70550865763399,-0.00507985993843268,0.124842803464359,0.742436746509028,0.996963966487092,"TAS1R3"
"ENSG00000107404",2269.55816105679,0.122489387622157,0.157456317950116,0.0979652859782456,0.713810549112176,"DVL1"
"ENSG00000162576",269.703841258696,-0.00898288093178636,0.118066092171877,0.823643521880216,0.996963966487092,"MXRA8"
"ENSG00000175756",3006.32868179627,0.0426339651656023,0.120695235089554,0.407823998997997,0.983310023689396,"AURKAIP1"
"ENSG00000221978",1559.56039144079,0.00424835868630719,0.116083235379101,0.926926814681931,0.997276264740844,"CCNL2"
"ENSG00000224870",471.765633793929,-0.00602559532365337,0.110024366615415,0.899723449834286,0.996963966487092,"MRPL20-AS1"
"ENSG00000242485",1655.84349874296,0.0078104668601843,0.111207196594395,0.882888429333,0.996963966487092,"MRPL20"
"ENSG00000272455",71.926610341344,-0.0176044600769903,0.122642055638036,0.591749615495127,0.995223898895569,NA
"ENSG00000235098",46.8819570223573,-0.0700987565422398,0.150856400341193,0.038751860089665,0.495064420306226,"ANKRD65"
"ENSG00000225905",1.87788265884731,0.00293611459453261,0.125378562498361,0.755995008506249,NA,NA
"ENSG00000205116",37.4221011551922,0.0998209592426021,0.184041652008035,0.0140472025407796,0.294437012856465,"TMEM88B"
"ENSG00000225285",40.8783226182712,0.0273805400323346,0.123987398383938,0.451703485004783,0.988478028591303,NA
"ENSG00000179403",1776.65024573693,0.378280125632033,0.388364250593772,0.0100672312661379,0.246179933072132,"VWA1"
"ENSG00000215915",37.9575208076183,-0.0140027611590037,0.122645932970434,0.648804444386345,0.996963966487092,"ATAD3C"
"ENSG00000160072",1458.06868210939,0.147328394584313,0.207872892033932,0.0489276001736118,0.549938159505596,"ATAD3B"
"ENSG00000197785",2069.40485194276,0.123855567573144,0.168518241304858,0.0832402859100874,0.678971861032455,"ATAD3A"
"ENSG00000205090",68.9191069385594,-0.0108162018941894,0.119515806803762,0.777168484516033,0.996963966487092,"TMEM240"
"ENSG00000160075",4296.67434686007,0.0227269602797141,0.113646135864759,0.665051546426286,0.996963966487092,"SSU72"
"ENSG00000215014",16.76226808495,-0.00236447632343745,0.122911331647653,0.924856593343035,0.997276264740844,NA
"ENSG00000228594",1420.82241976382,0.00468256155437562,0.114658216895616,0.92201692129167,0.997276264740844,"FNDC10"
"ENSG00000272106",129.354181131346,-0.00294421016066262,0.11724388442668,0.942562576195292,0.998230476681644,NA
"ENSG00000197530",806.529439397121,-0.010553242920567,0.108892915613532,0.781537826182859,0.996963966487092,"MIB2"
"ENSG00000189409",50.5264154895329,0.00988797052051956,0.121492152364871,0.7656881944496,0.996963966487092,"MMP23B"
"ENSG00000248333",1558.33841599489,0.0605355408385605,0.119099103051693,0.330031492398113,0.96630138805947,"CDK11B"
"ENSG00000272004",0.953174075981759,0.00245062178372315,0.125542632032385,0.708091654215926,NA,NA
"ENSG00000189339",1491.24833053115,0.0193592104618275,0.113068182060258,0.711794633411494,0.996963966487092,"SLC35E2B"
"ENSG00000269737",8.37225907849755,-0.00666301803775307,0.125115307799081,0.638548981760115,0.996963966487092,NA
"ENSG00000215914",2.86969898512448,0.0156968924302886,0.126841510880606,0.0927770212944739,NA,"MMP23A"
"ENSG00000008128",241.708843812316,0.0370453462074931,0.121493982326185,0.440300529931496,0.986715507791422,"CDK11A"
"ENSG00000268575",49.7123072967611,0.0202251341603032,0.124144945295209,0.502218996794895,0.995223898895569,NA
"ENSG00000227775",45.2915977778925,-0.011126458608872,0.122769953547305,0.699700911948755,0.996963966487092,NA
"ENSG00000215790",78.054968804391,0.0553610275076418,0.133683163036591,0.208485308266645,0.887069585281776,NA
"ENSG00000008130",1604.07812873042,0.0672767638848715,0.122650017123838,0.280998425952482,0.948241019400021,"NADK"
"ENSG00000078369",11454.9869748056,0.0854560794557656,0.130795460019342,0.196277612129017,0.879518862463063,"GNB1"
"ENSG00000231050",5.21065574388834,2.33646866349737e-05,0.124933098269749,0.99998374085134,NA,"GNB1-DT"
"ENSG00000169885",11.1729434469717,-0.0236124659217457,0.128026927589458,0.134351046338986,0.790600957530622,"CALML6"
"ENSG00000178821",197.182778877648,0.00739709076894033,0.117495902469449,0.863948169114414,0.996963966487092,"TMEM52"
"ENSG00000142609",4.34836893755482,-0.0101282559400668,0.125437450949709,0.483307322597263,NA,"CFAP74"
"ENSG00000233542",3.45617959050172,-0.00744137307669949,0.125363561048813,0.553850579329597,NA,NA
"ENSG00000187730",30.7192033912145,0.00108494887581744,0.121806555339677,0.973082701110081,0.999280528424376,"GABRD"
"ENSG00000226969",1.22051799266564,0.000864265669201581,0.12547323115473,0.904368241570496,NA,"PRKCZ-DT"
"ENSG00000067606",947.054189799789,0.00930025834776465,0.111004893978623,0.862929140970584,0.996963966487092,"PRKCZ"
"ENSG00000271806",1.1436296522723,0.00118637158781991,0.125456003541977,0.875598206304045,NA,NA
"ENSG00000182873",61.2327901715375,-0.00406804993481264,0.120432603703516,0.904462469728739,0.996963966487092,"PRKCZ-AS1"
"ENSG00000162585",1463.84719101164,0.029155926113015,0.116709172879557,0.565745313271631,0.995223898895569,"FAAP20"
"ENSG00000157933",2800.30287839405,0.129507215400823,0.166506469852817,0.0841616560524276,0.681670107934812,"SKI"
"ENSG00000116151",126.120597253361,-0.0230926795885156,0.120760796858103,0.571716706218381,0.995223898895569,"MORN1"
"ENSG00000272161",2.47720082575557,-0.00603346184907326,0.125544269231692,0.519351660323026,NA,NA
"ENSG00000269896",26.7957230650618,-0.0329522626844036,0.127900210323391,0.282755048222086,0.948918158564453,"LOC100129534"
"ENSG00000272420",5.69530159305461,0.00669555351938667,0.125144450861309,0.636611423359529,0.996963966487092,NA
"ENSG00000157916",1284.64840386366,0.0275404989006592,0.10857097338255,0.651062601306575,0.996963966487092,"RER1"
"ENSG00000157911",530.116671766458,0.0352020281860159,0.116999647983071,0.50457814994841,0.995223898895569,"PEX10"
"ENSG00000149527",5.17212128041721,0.00975511100142312,0.125287239125226,0.527403762594875,NA,"PLCH2"
"ENSG00000157881",524.512533197617,0.0779876642902642,0.133030292564368,0.204948950031626,0.887014070525452,"PANK4"
"ENSG00000197921",10.7987390855397,0.0100731074288857,0.124874623794919,0.58944847727712,0.995223898895569,"HES5"
"ENSG00000272449",30.5789429074828,-0.027025153257442,0.12550314908756,0.392125732303677,0.981346237206716,NA
"ENSG00000238164",0.909089126955794,0.00205696519085458,0.125587265319245,0.705405585205035,NA,NA
"ENSG00000157873",3.18740045733004,-0.00215508990971754,0.12517032226049,0.850083960099318,NA,"TNFRSF14"
"ENSG00000157870",1437.75983838073,0.0899874717096609,0.143054349751069,0.152808279661406,0.825121435912875,"PRXL2B"
"ENSG00000142606",24.4407456440223,0.026601074357082,0.12640936840715,0.347120201431548,0.970289032670747,"MMEL1"
"ENSG00000237058",8.22919026944944,0.00256461727689554,0.124232179587744,0.89500972233767,0.996963966487092,NA
"ENSG00000215912",4.33226698689194,0.0136050588481787,0.126258847843237,0.239266144404753,NA,"TTC34"
"ENSG00000177133",1.71081616918624,-0.0126525457763158,0.126524223237183,0.0423611563830386,NA,"PRDM16-DT"
"ENSG00000142611",14.4617041868331,-0.028471080232693,0.128360547529168,0.207482751857563,0.887069585281776,"PRDM16"
"ENSG00000130762",581.570446821244,0.0533506170963932,0.127989162622379,0.28936245707896,0.950913486779081,"ARHGEF16"
"ENSG00000272088",1.49617269306651,0.000562171230267784,0.125432502463084,0.943489331439473,NA,NA
"ENSG00000162591",342.765875399256,0.0178039912886537,0.120783868929767,0.643621842062366,0.996963966487092,"MEGF6"
"ENSG00000238260",2.5147714367608,-0.00519898443632228,0.1255722209869,0.52807733223184,NA,NA
"ENSG00000158109",803.336293052217,0.00760692994283937,0.112261991802556,0.8852242370297,0.996963966487092,"TPRG1L"
"ENSG00000116213",488.551447626473,0.0243235154671335,0.110734868015678,0.662079603220895,0.996963966487092,"WRAP73"
"ENSG00000078900",152.228685187881,-0.0910053392525885,0.156952729139923,0.0960943380242946,0.710279137288294,"TP73"
"ENSG00000227372",1057.9933899606,-0.011301603533409,0.108287752826442,0.836719022194153,0.996963966487092,"TP73-AS1"
"ENSG00000162592",7.00060221625604,-0.0187905186393088,0.126674851839533,0.254406041957025,0.927851143664942,"CCDC27"
"ENSG00000235169",28.7346535258993,-0.0550867337559109,0.138482667608173,0.106649007149575,0.736660056827731,"SMIM1"
"ENSG00000130764",2520.53900961775,0.0379663172145802,0.112640405109366,0.512380485767338,0.995223898895569,"LRRC47"
"ENSG00000272153",7.93528983400544,-0.012264970265227,0.125630798813153,0.419916158836456,0.983310023689396,NA
"ENSG00000116198",609.582127895348,0.0942566768244895,0.144542231173393,0.14602228440292,0.814599819211963,"CEP104"
"ENSG00000169598",221.967678846392,0.113273711835325,0.169922286415399,0.0824600935190153,0.676394038505494,"DFFB"
"ENSG00000198912",452.605271707177,0.0239830808749567,0.11038511083788,0.670381907413071,0.996963966487092,"C1orf174"
"ENSG00000236423",6.82622075562255,0.0043660785011985,0.124627712806772,0.79837067039127,0.996963966487092,"LINC01134"
"ENSG00000196581",152.371969422684,0.0168518197897748,0.122316498115677,0.618170932514311,0.996963966487092,"AJAP1"
"ENSG00000231510",1.95386313389134,0.00844271555052351,0.125789456864569,0.351264716645097,NA,NA
"ENSG00000236948",1.37888110780805,-0.000511817483225433,0.125487118096371,0.939803413919441,NA,NA
"ENSG00000131697",457.035485253566,0.0566061540326697,0.131990718045645,0.234504403510979,0.911137763292071,"NPHP4"
"ENSG00000069424",273.071511643099,0.646939634575181,0.299422857679687,0.0011728009812687,0.0605267429473022,"KCNAB2"
"ENSG00000116254",80.1360499642434,-0.0342962730065642,0.128398233121954,0.265215487596248,0.935995331771508,"CHD5"
"ENSG00000116251",11176.0209870344,-0.0594897413096424,0.125832847641891,0.278558914332949,0.945403247357618,"RPL22"
"ENSG00000226944",4.83869154280416,0.000220974186895206,0.124805763041537,0.990037734353269,NA,"RNF207-AS1"
"ENSG00000158286",64.9565692551198,-0.0258971805025794,0.125333277998239,0.404779524519049,0.983310023689396,"RNF207"
"ENSG00000116237",5822.91257321253,0.0995314836168565,0.136775165401541,0.163678571081868,0.839655688026387,"ICMT"
"ENSG00000225077",141.133277852554,-0.0425149349895101,0.123551149476928,0.376035863607285,0.978500828772433,NA
"ENSG00000173673",1099.45206669529,-0.790756853652884,0.479111582301401,0.00247674729415911,0.0985754434298906,"HES3"
"ENSG00000158292",600.464388682124,-0.238523221891967,0.470540623604337,0.015378212895874,0.309193629284857,"GPR153"
"ENSG00000097021",3592.43955726316,0.319314188110752,0.275652929385358,0.0127932024538083,0.280391168297713,"ACOT7"
"ENSG00000069812",36.9165338405504,-0.0373271853816186,0.13007300264733,0.206485260681338,0.887069585281776,"HES2"
