Geneid,SK7A-1,SK7A-2,SK7A-3,SK8A-1,SK8A-2,SK8A-3,SK8A-4,SK8A-5,SK8A-6,Wi-1,Wi-2,Wi-3
ENSG00000009950,84,57,36,51,18,21,9,3,0,4,16,2
ENSG00000009954,13793,16233,19772,12681,12227,11908,2150,2113,446,1210,1034,1611
ENSG00000010017,5640,6754,8071,6429,5763,5384,1164,1087,186,776,1032,984
ENSG00000010030,8,33,58,32,44,38,20,8,9,0,4,1
ENSG00000010072,1535,1919,2130,1716,1404,1402,285,225,33,287,273,252
ENSG00000010165,1762,1929,2585,1865,1920,1579,582,419,97,387,296,391
ENSG00000010219,906,1032,1320,696,930,919,184,138,25,134,196,248
ENSG00000010244,10552,13528,11882,9828,8809,7660,1315,1271,245,1463,1888,1917
ENSG00000010256,8576,9147,12028,9243,9634,8434,3319,2690,515,2121,3951,2979
ENSG00000010270,5115,7251,8361,6489,6153,5610,1135,1204,222,762,946,1175
ENSG00000010278,328,482,690,1005,603,328,180,57,30,1766,4185,919
ENSG00000010282,0,4,4,4,5,0,1,0,0,0,0,0
ENSG00000010292,10221,9413,9490,7329,4562,6351,969,1343,242,630,573,1420
ENSG00000010295,1672,2477,1982,1427,1366,1117,390,273,62,134,139,359
ENSG00000010310,213,173,103,104,106,53,32,12,0,43,69,8
ENSG00000010318,379,351,387,259,290,271,43,64,22,59,68,81
ENSG00000010319,25,6,14,16,13,1,7,2,0,0,0,0
ENSG00000010322,13724,22520,22209,14807,17328,14887,4770,3803,752,2281,2217,2792
ENSG00000010327,470,446,594,400,371,391,106,130,31,135,244,190
ENSG00000010361,1329,1245,1529,958,936,926,324,292,63,267,449,404
ENSG00000010379,52,47,14,16,14,19,8,6,2,4,6,5
ENSG00000010404,1056,2394,2777,2132,2280,1897,570,536,111,393,329,389
ENSG00000010438,10,17,13,13,4,1,2,0,1,4,1,3
ENSG00000010539,838,1045,1024,736,767,679,135,104,20,124,102,183
ENSG00000010610,131,111,90,43,55,51,4,5,2,2,4,9
ENSG00000010626,249,222,313,150,208,172,59,48,10,59,88,72
ENSG00000010671,16,5,15,6,2,2,0,0,0,0,4,0
ENSG00000010704,72,68,59,17,54,29,4,2,0,19,26,19
ENSG00000010803,3025,3383,3689,2976,2774,2765,671,641,114,400,522,664
ENSG00000010810,7439,10847,14544,10961,10830,10219,2633,2576,535,1067,1019,1471
ENSG00000010818,2084,3227,3510,2985,2767,2638,506,409,81,592,676,449
ENSG00000010932,31,0,2,2,0,0,0,0,0,4,0,0
ENSG00000011007,4645,6138,6643,4848,4119,3744,718,523,150,615,590,694
ENSG00000011009,4098,5343,6308,4726,4253,3939,1362,1086,214,1317,2093,1383
ENSG00000011021,3786,5549,3768,3458,2769,2457,577,521,99,521,469,809
ENSG00000011028,31913,47318,79250,34988,60637,51146,20241,14780,3195,5612,3294,5494
ENSG00000011052,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000011083,57,112,122,110,101,116,21,12,4,22,12,47
ENSG00000011105,4722,5404,7804,6147,6444,5640,1963,1498,317,854,658,1306
ENSG00000011114,190,166,181,156,316,173,46,20,7,29,18,24
ENSG00000011132,682,913,949,589,770,703,244,219,40,230,242,203
ENSG00000011143,1248,1615,1495,1141,1065,1016,300,291,78,181,168,311
ENSG00000011198,1003,1430,1821,1059,1418,1035,201,165,32,238,303,201
ENSG00000011201,5851,7644,9046,3349,4779,5235,709,761,204,1217,2751,1721
ENSG00000011243,8132,9433,8850,5718,5795,5114,1584,1365,265,1208,1679,1732
ENSG00000011258,4675,5149,5454,2888,3032,3465,464,528,98,386,392,595
ENSG00000011260,2472,3095,3499,2936,2360,2286,578,524,121,337,447,522
ENSG00000011275,5375,7428,9108,7249,6572,6111,1465,1163,299,897,826,1084
ENSG00000011295,3912,4870,5586,3439,3949,3422,823,867,144,671,615,778
ENSG00000011304,25384,31114,35584,28061,23285,23409,6521,6308,1215,4705,4794,6561
ENSG00000011332,332,339,410,365,211,221,99,62,14,40,30,52
ENSG00000011347,2543,745,842,316,346,772,111,213,21,432,916,387
ENSG00000011376,2064,2311,2957,2359,1835,1731,436,394,86,324,188,416
ENSG00000011405,12222,17172,17972,12378,10989,12223,1477,1402,343,847,1049,1206
ENSG00000011422,709,1991,2973,3909,3623,2078,1159,539,117,761,816,446
ENSG00000011426,8756,9107,7099,8728,2719,4836,402,671,137,351,154,1105
ENSG00000011451,7044,8926,10153,6293,6498,6155,1734,1534,308,1132,1168,1448
ENSG00000011454,7984,10753,10826,6772,6985,7670,1260,1244,251,716,678,1047
ENSG00000011465,373,167,80,18,63,22,12,4,8,235,14,109
ENSG00000011478,1172,1341,1919,1512,1353,1256,376,350,75,143,212,215
