"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000138380",88.2815172799334,-0.918882076656148,0.408133336917528,-2.25142617262316,0.0243585579946851,0.397269093559796,"CARF"
"ENSG00000232479",3.16594322515609,-0.0371764621607652,1.28340289280732,-0.0289671017333031,0.976890828591572,NA,"KRT8P52"
"ENSG00000144426",139.870183662221,-0.269208865639388,0.265427489148967,-1.01424636348912,0.310465210521473,0.954811736435948,"NBEAL1"
"ENSG00000228513",1.06971596228302,3.51042865290103,2.96861150336198,1.18251534393282,0.237001280887234,NA,"LOC100419679"
"ENSG00000119004",277.79753652178,-0.173414724428227,0.236475572279984,-0.733330393309744,0.463356941997523,0.990658316262416,"CYP20A1"
"ENSG00000138443",3110.3460997568,-0.0716747601455788,0.200602266473984,-0.357297858122029,0.720868833281224,0.996963966487092,"ABI2"
"ENSG00000256458",0.984351600173288,0.99627564032574,2.3836667997866,0.417959271998473,0.675976895259656,NA,NA
"ENSG00000173166",80.6274967678863,0.109542262794203,0.435992968316089,0.251247774057646,0.801622550483483,0.996963966487092,"RAPH1"
"ENSG00000116117",507.866452716277,2.18500659851899,0.221511555656131,9.86407500072339,5.95810627267649e-23,1.22869391578751e-19,"PARD3B"
"ENSG00000118257",2286.42364793111,0.281538805799853,0.301657607250411,0.933305837588719,0.350662081970546,0.972136131646877,"NRP2"
"ENSG00000114933",637.112012148121,-0.0404025840688244,0.214522867704508,-0.188336956806286,0.850612516346832,0.996963966487092,"INO80D"
"ENSG00000227946",155.522867339983,-0.344611752789989,0.322336363819435,-1.06910603788728,0.285021891281104,0.950913486779081,NA
"ENSG00000023228",2301.49893761131,-0.0790282195809643,0.199161324572473,-0.396805051134347,0.691511225623024,0.996963966487092,"NDUFS1"
"ENSG00000114942",7098.5581089452,-0.284852411625081,0.201367015334901,-1.41459320510528,0.157187802205181,0.832933376206962,"EEF1B2"
"ENSG00000281780",1.43576442951885,2.76500165637027,2.33745959429391,1.18290885674347,0.236845271166646,NA,NA
"ENSG00000183671",13.818230615273,1.46204129452361,0.714597262592729,2.04596542844144,0.0407597721771429,0.506723441675656,"CMKLR2"
"ENSG00000204186",311.371535496094,-0.136074973219343,0.275905786914353,-0.493193617796729,0.621875786998138,0.996963966487092,"ZDBF2"
"ENSG00000234491",2.60984653254884,-0.107037427728306,1.38437921960869,-0.0773179965519569,0.938370574583864,NA,NA
"ENSG00000114948",656.089397522874,-0.184141261727765,0.253193375246032,-0.727275196473177,0.467057389403585,0.990692677158158,"ADAM23"
"ENSG00000228577",1.43740584397742,0.880784252659659,2.03762444287389,0.432260348927396,0.665552202097448,NA,NA
"ENSG00000138400",41.8804735073886,-0.543129161365405,0.421528675838608,-1.28847500181305,0.197580665274817,0.880396693906853,"MDH1B"
"ENSG00000118246",935.585611281088,-0.11929326812747,0.228346604752665,-0.522421904440765,0.601376608113091,0.995223898895569,"FASTKD2"
"ENSG00000144410",11.0490540910644,0.646718107226189,0.772567821338573,0.837102050284292,0.402535208043481,0.98245010419187,"CPO"
"ENSG00000118263",778.945956721908,0.95583712434325,0.203773196754558,4.69069111917866,2.72283757801056e-06,0.000500355103444316,"KLF7"
"ENSG00000234902",1.63835403013276,-0.0776491258930766,1.69808705438736,-0.0457274117321926,0.963527515253866,NA,NA
"ENSG00000223725",2.80511510883209,-0.675234179315263,1.58841921002937,-0.425098220326092,0.670765075214282,NA,NA
"ENSG00000118260",1264.33152756675,-0.203380986914518,0.226786567181629,-0.896794679870236,0.369828487351748,0.975719497000816,"CREB1"
"ENSG00000144401",1024.27243449749,0.169930798901016,0.211163684179273,0.804734959808473,0.420972640987492,0.983310023689396,"METTL21A"
"ENSG00000213082",4.57550194529069,0.192773291057251,1.13778931868818,0.169427931771684,0.865460054712734,NA,NA
"ENSG00000163249",1037.78128406232,0.230072477359502,0.19366178615723,1.18801174937379,0.234828780748879,0.911451554620089,"CCNYL1"
"ENSG00000163251",3731.00707113211,0.385787088654067,0.306481999554768,1.25875936992876,0.208117259890143,0.887069585281776,"FZD5"
